article_id,section_name,web_url,tags,pillar_name
global-development/2021/nov/26/battery-power-five-innovations-for-cleaner-greener-electric-vehicles,Global development,https://www.theguardian.com/global-development/2021/nov/26/battery-power-five-innovations-for-cleaner-greener-electric-vehicles,"['Battery life', 'Rights and freedom', 'Recycling', 'Mining', 'Pollution', 'Environment', 'Electric, hybrid and low-emission cars', 'Greenhouse gas emissions', 'Ethical and green living', 'Motoring', 'Technology', 'Water', 'Energy', 'Energy storage', 'Energy', 'Child labour', 'Article', 'Features', 'Oliver Balch', 'UK Global Development']",News
commentisfree/2021/oct/27/the-coalitions-net-zero-policy-is-merely-a-plan-to-freeload-off-the-rest-of-the-world,Opinion,https://www.theguardian.com/commentisfree/2021/oct/27/the-coalitions-net-zero-policy-is-merely-a-plan-to-freeload-off-the-rest-of-the-world,"['Opinion', 'Climate crisis', 'Energy', 'Renewable energy', 'Australia news', 'Australian politics', 'Environment', 'Energy', 'Article', 'Comment', 'Tristan Edis', 'Australia Opinion']",Opinion
environment/2021/nov/09/what-is-the-morrison-governments-electric-vehicles-policy-and-will-it-actually-drive-take-up,Environment,https://www.theguardian.com/environment/2021/nov/09/what-is-the-morrison-governments-electric-vehicles-policy-and-will-it-actually-drive-take-up,"['Electric vehicles', 'Australian politics', 'Scott Morrison', 'Environment', 'Australia news', 'Cop26', 'Climate crisis', 'Article', 'Explainers', 'Royce Kurmelovs', 'Australia News']",News
australia-news/2021/sep/15/australia-was-late-on-renewable-energy-and-is-now-making-same-mistakes-with-electric-vehicles-analysts-say,Australia news,https://www.theguardian.com/australia-news/2021/sep/15/australia-was-late-on-renewable-energy-and-is-now-making-same-mistakes-with-electric-vehicles-analysts-say,"['Energy', 'Climate crisis', 'Australian politics', 'Coalition', 'Fossil fuels', 'Environment', 'Australia news', 'Article', 'News', 'Lisa Cox', 'Australia News']",News
commentisfree/2021/nov/10/scott-morrison-could-restore-australias-climate-reputation-as-a-lifter-rather-than-a-leaner-with-five-steps,Opinion,https://www.theguardian.com/commentisfree/2021/nov/10/scott-morrison-could-restore-australias-climate-reputation-as-a-lifter-rather-than-a-leaner-with-five-steps,"['Opinion', 'Australian politics', 'Climate crisis', 'Australia news', 'Cop26', 'Fossil fuels', 'Energy', 'Renewable energy', 'Environment', 'Coalition', 'Scott Morrison', 'Article', 'Comment', 'Tristan Edis', 'Australia Opinion']",Opinion
sport/2021/nov/26/climate-emergency-accelerates-f1-efforts-to-clean-up-image,Sport,https://www.theguardian.com/sport/2021/nov/26/climate-emergency-accelerates-f1-efforts-to-clean-up-image,"['Formula One', 'Motor sport', 'Sport', 'Climate crisis', 'Environment', 'Article', 'Features', 'Giles Richards', 'The Guardian', 'Sport', 'News & features', 'UK Sport']",Sport
environment/2021/oct/31/reasons-to-be-hopeful-the-climate-solutions-available-now,Environment,https://www.theguardian.com/environment/2021/oct/31/reasons-to-be-hopeful-the-climate-solutions-available-now,"['Climate crisis', 'Renewable energy', 'Energy', 'Automotive industry', 'Deforestation', 'Technology', 'Manufacturing sector', 'Environment', 'Cop26', 'Article', 'Features', 'Damian Carrington', 'The Guardian', 'Special supplement', 'Special supplement', 'UK Environment']",News
environment/2021/nov/02/world-leaders-announce-plan-to-make-green-tech-cheaper-than-alternatives,Environment,https://www.theguardian.com/environment/2021/nov/02/world-leaders-announce-plan-to-make-green-tech-cheaper-than-alternatives,"['Cop26', 'Energy', 'Climate crisis', 'Electric, hybrid and low-emission cars', 'Fossil fuels', 'Greenhouse gas emissions', 'India', 'China', 'Environment', 'Technology', 'World news', 'Article', 'News', 'Damian Carrington', 'The Guardian', 'Special supplement', 'Special supplement', 'UK Environment']",News
business/2021/oct/31/jcb-signs-deal-to-import-hydrogen-from-australia-to-uk,Business,https://www.theguardian.com/business/2021/oct/31/jcb-signs-deal-to-import-hydrogen-from-australia-to-uk,"['JCB', 'Hydrogen power', 'Business', 'Energy', 'Renewable energy', 'Australia news', 'UK news', 'Automotive industry', 'Article', 'News', 'Miles Brignall', 'UK Business']",News
business/2021/jul/13/rising-oil-price-may-speed-shift-to-electric-vehicles-says-energy-watchdog,Business,https://www.theguardian.com/business/2021/jul/13/rising-oil-price-may-speed-shift-to-electric-vehicles-says-energy-watchdog,"['Oil', 'Petrol prices', 'Oil', 'Oil and gas companies', 'Electric, hybrid and low-emission cars', 'Climate crisis', 'Greenhouse gas emissions', 'Business', 'Commodities', 'Energy', 'Energy industry', 'Environment', 'Fossil fuels', 'Motoring', 'Money', 'World news', 'Transport policy', 'Airline industry', 'Airline emissions', 'Road transport', 'Politics', 'Opec', 'Article', 'News', 'Jillian Ambrose', 'The Guardian', 'Main section', 'Business', 'UK Business']",News
